"query","log2Enr","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","highlighted"
"query_1",1.45267911214617,TRUE,0.0320644656988403,262,295,29,0.0983050847457627,0.110687022900763,"GO:0060589","GO:MF","nucleoside-triphosphatase regulator activity",7295,8391,"GO:0030234",FALSE
"query_1",1.43923795940985,TRUE,0.000100692744469076,383,295,42,0.142372881355932,0.109660574412533,"GO:0031344","GO:BP","regulation of cell projection organization",7295,7392,"GO:0030030, GO:0051128",FALSE
"query_1",1.42497049358008,TRUE,9.79635357028996e-09,571,295,62,0.210169491525424,0.108581436077058,"GO:0048666","GO:BP","neuron development",7295,13349,"GO:0030182, GO:0048468",FALSE
"query_1",1.36855890462906,TRUE,5.49936047754224e-06,498,295,52,0.176271186440678,0.104417670682731,"GO:0008092","GO:MF","cytoskeletal protein binding",7295,1544,"GO:0005515",TRUE
"query_1",1.35665809065167,TRUE,0.0370610740880468,309,295,32,0.108474576271186,0.103559870550162,"GO:0008289","GO:MF","lipid binding",7295,1643,"GO:0005488",FALSE
"query_1",1.3330168117444,TRUE,0.00473327156624152,373,295,38,0.128813559322034,0.101876675603217,"GO:0051668","GO:BP","localization within membrane",7295,14335,"GO:0051641",FALSE
"query_1",1.33150411219787,TRUE,1.21140219894804e-13,904,295,92,0.311864406779661,0.101769911504425,"GO:0030054","GO:CC","cell junction",7295,868,"GO:0110165",FALSE
"query_1",1.32134524890123,TRUE,2.7012169957874e-08,663,295,67,0.227118644067797,0.10105580693816,"GO:0030182","GO:BP","neuron differentiation",7295,6936,"GO:0030154, GO:0048699",FALSE
"query_1",1.31861228292276,TRUE,0.0203658275050239,347,295,35,0.11864406779661,0.100864553314121,"GO:0032940","GO:BP","secretion by cell",7295,8206,"GO:0046903, GO:0140352",FALSE
"query_1",1.30195603078222,TRUE,0.0396426587210526,341,295,34,0.115254237288136,0.0997067448680352,"GO:0051050","GO:BP","positive regulation of transport",7295,13899,"GO:0006810, GO:0048518, GO:0051049",FALSE
